Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Barshaa South Third,Unit,419440.0,28-04-2022,9716.01,Studio,1,DIVINE RESIDENCES,Arjan,First Abu Dhabi Bank Metro Station,8.5,42.7
Business Bay,Unit,1925000.0,10/1/2023,16994.79,2 B/R,1,THE BAY,Business Bay,Buj Khalifa Dubai Mall Metro Station,12.8,65.0
Business Bay,Unit,438095.0,6/6/2022,28974.55,Studio,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,5.8,29.2
Al Satwa,Villa,5800000.0,1/6/2022,24972.01,,0,,,Trade Centre Metro Station,7.2,39.1
Al Yufrah 2,Villa,1705000.0,30-09-2021,9754.0,,0,,DAMAC HILLS 2,,8.5,43.4
Al Thanayah Fourth,Villa,4650000.0,19-01-2021,8225.58,,0,,Meadows 2,Damac Properties,6.7,35.9
Al Yufrah 3,Land,1040000.0,5/7/2022,5949.66,,0,,DAMAC HILLS 2,,7.6,38.5
Wadi Al Safa 6,Villa,6600000.0,17-06-2022,5848.99,,0,,Arabian Ranches - Saheel,First Abu Dhabi Bank Metro Station,5.4,30.5
Nad Al Shiba First,Land,5199903.0,9/2/2021,3731.49,,0,,Meydan,Business Bay Metro Station,14.4,74.7
Al Bada,Villa,141610.0,1/4/2021,4996.82,,0,,,Emirates Towers Metro Station,6.5,32.6
Al Satwa,Villa,5700000.0,28-10-2022,24541.46,,0,,,Trade Centre Metro Station,6.5,35.5
Um Suqaim Second,Villa,3615000.0,23-06-2021,8149.05,,0,,,First Abu Dhabi Bank Metro Station,11.4,58.9
Al Mezhar Second,Land,1289000.0,22-03-2021,1938.05,,0,,,Etisalat Metro Station,13.6,68.7
Al Goze First,Villa,2200000.0,16-03-2022,3035.99,,0,,,Business Bay Metro Station,12.9,65.7
Um Suqaim First,Villa,40739299.0,1/10/2020,8770.29,,0,,,Noor Bank Metro Station,11.1,76.9
Al Thanyah Fifth,Villa,4900000.0,8/10/2020,5125.95,,0,,Jumeirah Islands,Jumeirah Lakes Towers,8.9,47.1
Al Thanyah Fifth,Villa,9150000.0,12/12/2022,9124.18,,0,,Jumeirah Islands,Jumeirah Lakes Towers,6.1,35.3
Wadi Al Safa 6,Villa,7475000.0,7/9/2021,10618.95,,0,,Arabian Ranches - Almahra,,8.3,45.4
Um Al Sheif,Building,10600000.0,15-04-2022,6894.13,,0,,,First Abu Dhabi Bank Metro Station,13.0,70.6
